geometry
"POLYGON ((4.64663 52.26618, 4.6495812704125425 52.26618, 4.6495812704125425 52.2679818018018, 4.64663 52.2679818018018, 4.64663 52.26618))"
"POLYGON ((5.086369291468833 52.46437819819844, 5.089320561881376 52.46437819819844, 5.089320561881376 52.46618000000024, 5.086369291468833 52.46618000000024, 5.086369291468833 52.46437819819844))"
"POLYGON ((5.089320561881376 52.46437819819844, 5.092271832293918 52.46437819819844, 5.092271832293918 52.46618000000024, 5.089320561881376 52.46618000000024, 5.089320561881376 52.46437819819844))"
"POLYGON ((5.092271832293918 52.46437819819844, 5.095223102706461 52.46437819819844, 5.095223102706461 52.46618000000024, 5.092271832293918 52.46618000000024, 5.092271832293918 52.46437819819844))"
"POLYGON ((5.095223102706461 52.46437819819844, 5.0981743731190035 52.46437819819844, 5.0981743731190035 52.46618000000024, 5.095223102706461 52.46618000000024, 5.095223102706461 52.46437819819844))"
"POLYGON ((5.0981743731190035 52.46437819819844, 5.101125643531546 52.46437819819844, 5.101125643531546 52.46618000000024, 5.0981743731190035 52.46618000000024, 5.0981743731190035 52.46437819819844))"
"POLYGON ((5.101125643531546 52.46437819819844, 5.1040769139440885 52.46437819819844, 5.1040769139440885 52.46618000000024, 5.101125643531546 52.46618000000024, 5.101125643531546 52.46437819819844))"
"POLYGON ((5.1040769139440885 52.46437819819844, 5.107028184356631 52.46437819819844, 5.107028184356631 52.46618000000024, 5.1040769139440885 52.46618000000024, 5.1040769139440885 52.46437819819844))"
"POLYGON ((5.107028184356631 52.46437819819844, 5.1099794547691735 52.46437819819844, 5.1099794547691735 52.46618000000024, 5.107028184356631 52.46618000000024, 5.107028184356631 52.46437819819844))"
"POLYGON ((5.1099794547691735 52.46437819819844, 5.112930725181716 52.46437819819844, 5.112930725181716 52.46618000000024, 5.1099794547691735 52.46618000000024, 5.1099794547691735 52.46437819819844))"
"POLYGON ((5.112930725181716 52.46437819819844, 5.1158819955942585 52.46437819819844, 5.1158819955942585 52.46618000000024, 5.112930725181716 52.46618000000024, 5.112930725181716 52.46437819819844))"
"POLYGON ((5.1158819955942585 52.46437819819844, 5.118833266006801 52.46437819819844, 5.118833266006801 52.46618000000024, 5.1158819955942585 52.46618000000024, 5.1158819955942585 52.46437819819844))"
"POLYGON ((5.118833266006801 52.46437819819844, 5.1217845364193435 52.46437819819844, 5.1217845364193435 52.46618000000024, 5.118833266006801 52.46618000000024, 5.118833266006801 52.46437819819844))"
"POLYGON ((5.1217845364193435 52.46437819819844, 5.124735806831886 52.46437819819844, 5.124735806831886 52.46618000000024, 5.1217845364193435 52.46618000000024, 5.1217845364193435 52.46437819819844))"
"POLYGON ((5.124735806831886 52.46437819819844, 5.1276870772444285 52.46437819819844, 5.1276870772444285 52.46618000000024, 5.124735806831886 52.46618000000024, 5.124735806831886 52.46437819819844))"
"POLYGON ((5.1276870772444285 52.46437819819844, 5.130638347656971 52.46437819819844, 5.130638347656971 52.46618000000024, 5.1276870772444285 52.46618000000024, 5.1276870772444285 52.46437819819844))"
"POLYGON ((5.130638347656971 52.46437819819844, 5.1335896180695135 52.46437819819844, 5.1335896180695135 52.46618000000024, 5.130638347656971 52.46618000000024, 5.130638347656971 52.46437819819844))"
"POLYGON ((5.1335896180695135 52.46437819819844, 5.136540888482056 52.46437819819844, 5.136540888482056 52.46618000000024, 5.1335896180695135 52.46618000000024, 5.1335896180695135 52.46437819819844))"
"POLYGON ((5.136540888482056 52.46437819819844, 5.1394921588945985 52.46437819819844, 5.1394921588945985 52.46618000000024, 5.136540888482056 52.46618000000024, 5.136540888482056 52.46437819819844))"
"POLYGON ((5.1394921588945985 52.46437819819844, 5.142443429307141 52.46437819819844, 5.142443429307141 52.46618000000024, 5.1394921588945985 52.46618000000024, 5.1394921588945985 52.46437819819844))"
"POLYGON ((5.142443429307141 52.46437819819844, 5.1453946997196836 52.46437819819844, 5.1453946997196836 52.46618000000024, 5.142443429307141 52.46618000000024, 5.142443429307141 52.46437819819844))"
"POLYGON ((5.1453946997196836 52.46437819819844, 5.148345970132226 52.46437819819844, 5.148345970132226 52.46618000000024, 5.1453946997196836 52.46618000000024, 5.1453946997196836 52.46437819819844))"
"POLYGON ((5.148345970132226 52.46437819819844, 5.151297240544769 52.46437819819844, 5.151297240544769 52.46618000000024, 5.148345970132226 52.46618000000024, 5.148345970132226 52.46437819819844))"
"POLYGON ((4.64663 52.46618000000024, 4.6495812704125425 52.46618000000024, 4.6495812704125425 52.46798180180205, 4.64663 52.46798180180205, 4.64663 52.46618000000024))"
"POLYGON ((4.6495812704125425 52.46618000000024, 4.652532540825085 52.46618000000024, 4.652532540825085 52.46798180180205, 4.6495812704125425 52.46798180180205, 4.6495812704125425 52.46618000000024))"
"POLYGON ((4.652532540825085 52.46618000000024, 4.655483811237628 52.46618000000024, 4.655483811237628 52.46798180180205, 4.652532540825085 52.46798180180205, 4.652532540825085 52.46618000000024))"
"POLYGON ((4.655483811237628 52.46618000000024, 4.65843508165017 52.46618000000024, 4.65843508165017 52.46798180180205, 4.655483811237628 52.46798180180205, 4.655483811237628 52.46618000000024))"
"POLYGON ((4.65843508165017 52.46618000000024, 4.661386352062713 52.46618000000024, 4.661386352062713 52.46798180180205, 4.65843508165017 52.46798180180205, 4.65843508165017 52.46618000000024))"
"POLYGON ((4.661386352062713 52.46618000000024, 4.664337622475255 52.46618000000024, 4.664337622475255 52.46798180180205, 4.661386352062713 52.46798180180205, 4.661386352062713 52.46618000000024))"
"POLYGON ((4.664337622475255 52.46618000000024, 4.667288892887798 52.46618000000024, 4.667288892887798 52.46798180180205, 4.664337622475255 52.46798180180205, 4.664337622475255 52.46618000000024))"
"POLYGON ((4.667288892887798 52.46618000000024, 4.67024016330034 52.46618000000024, 4.67024016330034 52.46798180180205, 4.667288892887798 52.46798180180205, 4.667288892887798 52.46618000000024))"
"POLYGON ((4.67024016330034 52.46618000000024, 4.673191433712883 52.46618000000024, 4.673191433712883 52.46798180180205, 4.67024016330034 52.46798180180205, 4.67024016330034 52.46618000000024))"
"POLYGON ((4.673191433712883 52.46618000000024, 4.676142704125425 52.46618000000024, 4.676142704125425 52.46798180180205, 4.673191433712883 52.46798180180205, 4.673191433712883 52.46618000000024))"
"POLYGON ((4.676142704125425 52.46618000000024, 4.679093974537968 52.46618000000024, 4.679093974537968 52.46798180180205, 4.676142704125425 52.46798180180205, 4.676142704125425 52.46618000000024))"
"POLYGON ((4.679093974537968 52.46618000000024, 4.68204524495051 52.46618000000024, 4.68204524495051 52.46798180180205, 4.679093974537968 52.46798180180205, 4.679093974537968 52.46618000000024))"
"POLYGON ((4.68204524495051 52.46618000000024, 4.684996515363053 52.46618000000024, 4.684996515363053 52.46798180180205, 4.68204524495051 52.46798180180205, 4.68204524495051 52.46618000000024))"
"POLYGON ((4.684996515363053 52.46618000000024, 4.687947785775595 52.46618000000024, 4.687947785775595 52.46798180180205, 4.684996515363053 52.46798180180205, 4.684996515363053 52.46618000000024))"
"POLYGON ((4.687947785775595 52.46618000000024, 4.690899056188138 52.46618000000024, 4.690899056188138 52.46798180180205, 4.687947785775595 52.46798180180205, 4.687947785775595 52.46618000000024))"
"POLYGON ((4.690899056188138 52.46618000000024, 4.69385032660068 52.46618000000024, 4.69385032660068 52.46798180180205, 4.690899056188138 52.46798180180205, 4.690899056188138 52.46618000000024))"
"POLYGON ((4.69385032660068 52.46618000000024, 4.696801597013223 52.46618000000024, 4.696801597013223 52.46798180180205, 4.69385032660068 52.46798180180205, 4.69385032660068 52.46618000000024))"
"POLYGON ((4.696801597013223 52.46618000000024, 4.699752867425765 52.46618000000024, 4.699752867425765 52.46798180180205, 4.696801597013223 52.46798180180205, 4.696801597013223 52.46618000000024))"
"POLYGON ((4.699752867425765 52.46618000000024, 4.702704137838308 52.46618000000024, 4.702704137838308 52.46798180180205, 4.699752867425765 52.46798180180205, 4.699752867425765 52.46618000000024))"
"POLYGON ((4.702704137838308 52.46618000000024, 4.70565540825085 52.46618000000024, 4.70565540825085 52.46798180180205, 4.702704137838308 52.46798180180205, 4.702704137838308 52.46618000000024))"
"POLYGON ((4.70565540825085 52.46618000000024, 4.708606678663393 52.46618000000024, 4.708606678663393 52.46798180180205, 4.70565540825085 52.46798180180205, 4.70565540825085 52.46618000000024))"
"POLYGON ((4.708606678663393 52.46618000000024, 4.711557949075935 52.46618000000024, 4.711557949075935 52.46798180180205, 4.708606678663393 52.46798180180205, 4.708606678663393 52.46618000000024))"
"POLYGON ((4.711557949075935 52.46618000000024, 4.714509219488478 52.46618000000024, 4.714509219488478 52.46798180180205, 4.711557949075935 52.46798180180205, 4.711557949075935 52.46618000000024))"
"POLYGON ((4.714509219488478 52.46618000000024, 4.71746048990102 52.46618000000024, 4.71746048990102 52.46798180180205, 4.714509219488478 52.46798180180205, 4.714509219488478 52.46618000000024))"
"POLYGON ((4.71746048990102 52.46618000000024, 4.720411760313563 52.46618000000024, 4.720411760313563 52.46798180180205, 4.71746048990102 52.46798180180205, 4.71746048990102 52.46618000000024))"
"POLYGON ((4.720411760313563 52.46618000000024, 4.723363030726105 52.46618000000024, 4.723363030726105 52.46798180180205, 4.720411760313563 52.46798180180205, 4.720411760313563 52.46618000000024))"
"POLYGON ((4.723363030726105 52.46618000000024, 4.726314301138648 52.46618000000024, 4.726314301138648 52.46798180180205, 4.723363030726105 52.46798180180205, 4.723363030726105 52.46618000000024))"
"POLYGON ((4.726314301138648 52.46618000000024, 4.72926557155119 52.46618000000024, 4.72926557155119 52.46798180180205, 4.726314301138648 52.46798180180205, 4.726314301138648 52.46618000000024))"
"POLYGON ((4.72926557155119 52.46618000000024, 4.732216841963733 52.46618000000024, 4.732216841963733 52.46798180180205, 4.72926557155119 52.46798180180205, 4.72926557155119 52.46618000000024))"
"POLYGON ((4.732216841963733 52.46618000000024, 4.735168112376275 52.46618000000024, 4.735168112376275 52.46798180180205, 4.732216841963733 52.46798180180205, 4.732216841963733 52.46618000000024))"
"POLYGON ((4.735168112376275 52.46618000000024, 4.738119382788818 52.46618000000024, 4.738119382788818 52.46798180180205, 4.735168112376275 52.46798180180205, 4.735168112376275 52.46618000000024))"
"POLYGON ((4.738119382788818 52.46618000000024, 4.74107065320136 52.46618000000024, 4.74107065320136 52.46798180180205, 4.738119382788818 52.46798180180205, 4.738119382788818 52.46618000000024))"
"POLYGON ((4.74107065320136 52.46618000000024, 4.744021923613903 52.46618000000024, 4.744021923613903 52.46798180180205, 4.74107065320136 52.46798180180205, 4.74107065320136 52.46618000000024))"
"POLYGON ((4.744021923613903 52.46618000000024, 4.746973194026445 52.46618000000024, 4.746973194026445 52.46798180180205, 4.744021923613903 52.46798180180205, 4.744021923613903 52.46618000000024))"
"POLYGON ((4.746973194026445 52.46618000000024, 4.749924464438988 52.46618000000024, 4.749924464438988 52.46798180180205, 4.746973194026445 52.46798180180205, 4.746973194026445 52.46618000000024))"
"POLYGON ((4.749924464438988 52.46618000000024, 4.75287573485153 52.46618000000024, 4.75287573485153 52.46798180180205, 4.749924464438988 52.46798180180205, 4.749924464438988 52.46618000000024))"
"POLYGON ((4.75287573485153 52.46618000000024, 4.755827005264073 52.46618000000024, 4.755827005264073 52.46798180180205, 4.75287573485153 52.46798180180205, 4.75287573485153 52.46618000000024))"
"POLYGON ((4.755827005264073 52.46618000000024, 4.758778275676615 52.46618000000024, 4.758778275676615 52.46798180180205, 4.755827005264073 52.46798180180205, 4.755827005264073 52.46618000000024))"
"POLYGON ((4.758778275676615 52.46618000000024, 4.761729546089158 52.46618000000024, 4.761729546089158 52.46798180180205, 4.758778275676615 52.46798180180205, 4.758778275676615 52.46618000000024))"
"POLYGON ((4.761729546089158 52.46618000000024, 4.7646808165017 52.46618000000024, 4.7646808165017 52.46798180180205, 4.761729546089158 52.46798180180205, 4.761729546089158 52.46618000000024))"
"POLYGON ((4.7646808165017 52.46618000000024, 4.767632086914243 52.46618000000024, 4.767632086914243 52.46798180180205, 4.7646808165017 52.46798180180205, 4.7646808165017 52.46618000000024))"
"POLYGON ((4.767632086914243 52.46618000000024, 4.770583357326785 52.46618000000024, 4.770583357326785 52.46798180180205, 4.767632086914243 52.46798180180205, 4.767632086914243 52.46618000000024))"
"POLYGON ((4.770583357326785 52.46618000000024, 4.773534627739328 52.46618000000024, 4.773534627739328 52.46798180180205, 4.770583357326785 52.46798180180205, 4.770583357326785 52.46618000000024))"
"POLYGON ((4.773534627739328 52.46618000000024, 4.77648589815187 52.46618000000024, 4.77648589815187 52.46798180180205, 4.773534627739328 52.46798180180205, 4.773534627739328 52.46618000000024))"
"POLYGON ((4.77648589815187 52.46618000000024, 4.779437168564413 52.46618000000024, 4.779437168564413 52.46798180180205, 4.77648589815187 52.46798180180205, 4.77648589815187 52.46618000000024))"
"POLYGON ((4.779437168564413 52.46618000000024, 4.782388438976955 52.46618000000024, 4.782388438976955 52.46798180180205, 4.779437168564413 52.46798180180205, 4.779437168564413 52.46618000000024))"
"POLYGON ((4.782388438976955 52.46618000000024, 4.785339709389498 52.46618000000024, 4.785339709389498 52.46798180180205, 4.782388438976955 52.46798180180205, 4.782388438976955 52.46618000000024))"
"POLYGON ((4.785339709389498 52.46618000000024, 4.78829097980204 52.46618000000024, 4.78829097980204 52.46798180180205, 4.785339709389498 52.46798180180205, 4.785339709389498 52.46618000000024))"
"POLYGON ((4.78829097980204 52.46618000000024, 4.791242250214583 52.46618000000024, 4.791242250214583 52.46798180180205, 4.78829097980204 52.46798180180205, 4.78829097980204 52.46618000000024))"
"POLYGON ((4.791242250214583 52.46618000000024, 4.794193520627125 52.46618000000024, 4.794193520627125 52.46798180180205, 4.791242250214583 52.46798180180205, 4.791242250214583 52.46618000000024))"
"POLYGON ((4.794193520627125 52.46618000000024, 4.797144791039668 52.46618000000024, 4.797144791039668 52.46798180180205, 4.794193520627125 52.46798180180205, 4.794193520627125 52.46618000000024))"
"POLYGON ((4.797144791039668 52.46618000000024, 4.80009606145221 52.46618000000024, 4.80009606145221 52.46798180180205, 4.797144791039668 52.46798180180205, 4.797144791039668 52.46618000000024))"
"POLYGON ((4.80009606145221 52.46618000000024, 4.803047331864753 52.46618000000024, 4.803047331864753 52.46798180180205, 4.80009606145221 52.46798180180205, 4.80009606145221 52.46618000000024))"
"POLYGON ((4.803047331864753 52.46618000000024, 4.805998602277295 52.46618000000024, 4.805998602277295 52.46798180180205, 4.803047331864753 52.46798180180205, 4.803047331864753 52.46618000000024))"
"POLYGON ((4.805998602277295 52.46618000000024, 4.808949872689838 52.46618000000024, 4.808949872689838 52.46798180180205, 4.805998602277295 52.46798180180205, 4.805998602277295 52.46618000000024))"
"POLYGON ((4.808949872689838 52.46618000000024, 4.81190114310238 52.46618000000024, 4.81190114310238 52.46798180180205, 4.808949872689838 52.46798180180205, 4.808949872689838 52.46618000000024))"
"POLYGON ((4.81190114310238 52.46618000000024, 4.814852413514923 52.46618000000024, 4.814852413514923 52.46798180180205, 4.81190114310238 52.46798180180205, 4.81190114310238 52.46618000000024))"
"POLYGON ((4.814852413514923 52.46618000000024, 4.817803683927465 52.46618000000024, 4.817803683927465 52.46798180180205, 4.814852413514923 52.46798180180205, 4.814852413514923 52.46618000000024))"
"POLYGON ((4.817803683927465 52.46618000000024, 4.820754954340008 52.46618000000024, 4.820754954340008 52.46798180180205, 4.817803683927465 52.46798180180205, 4.817803683927465 52.46618000000024))"
"POLYGON ((4.820754954340008 52.46618000000024, 4.82370622475255 52.46618000000024, 4.82370622475255 52.46798180180205, 4.820754954340008 52.46798180180205, 4.820754954340008 52.46618000000024))"
"POLYGON ((4.82370622475255 52.46618000000024, 4.826657495165093 52.46618000000024, 4.826657495165093 52.46798180180205, 4.82370622475255 52.46798180180205, 4.82370622475255 52.46618000000024))"
"POLYGON ((4.826657495165093 52.46618000000024, 4.829608765577635 52.46618000000024, 4.829608765577635 52.46798180180205, 4.826657495165093 52.46798180180205, 4.826657495165093 52.46618000000024))"
"POLYGON ((4.829608765577635 52.46618000000024, 4.832560035990178 52.46618000000024, 4.832560035990178 52.46798180180205, 4.829608765577635 52.46798180180205, 4.829608765577635 52.46618000000024))"
"POLYGON ((4.832560035990178 52.46618000000024, 4.83551130640272 52.46618000000024, 4.83551130640272 52.46798180180205, 4.832560035990178 52.46798180180205, 4.832560035990178 52.46618000000024))"
"POLYGON ((4.83551130640272 52.46618000000024, 4.838462576815263 52.46618000000024, 4.838462576815263 52.46798180180205, 4.83551130640272 52.46798180180205, 4.83551130640272 52.46618000000024))"
"POLYGON ((4.838462576815263 52.46618000000024, 4.841413847227805 52.46618000000024, 4.841413847227805 52.46798180180205, 4.838462576815263 52.46798180180205, 4.838462576815263 52.46618000000024))"
"POLYGON ((4.841413847227805 52.46618000000024, 4.844365117640348 52.46618000000024, 4.844365117640348 52.46798180180205, 4.841413847227805 52.46798180180205, 4.841413847227805 52.46618000000024))"
"POLYGON ((4.844365117640348 52.46618000000024, 4.8473163880528904 52.46618000000024, 4.8473163880528904 52.46798180180205, 4.844365117640348 52.46798180180205, 4.844365117640348 52.46618000000024))"
"POLYGON ((4.8473163880528904 52.46618000000024, 4.850267658465433 52.46618000000024, 4.850267658465433 52.46798180180205, 4.8473163880528904 52.46798180180205, 4.8473163880528904 52.46618000000024))"
"POLYGON ((4.850267658465433 52.46618000000024, 4.8532189288779755 52.46618000000024, 4.8532189288779755 52.46798180180205, 4.850267658465433 52.46798180180205, 4.850267658465433 52.46618000000024))"
"POLYGON ((4.8532189288779755 52.46618000000024, 4.856170199290518 52.46618000000024, 4.856170199290518 52.46798180180205, 4.8532189288779755 52.46798180180205, 4.8532189288779755 52.46618000000024))"
"POLYGON ((4.856170199290518 52.46618000000024, 4.8591214697030605 52.46618000000024, 4.8591214697030605 52.46798180180205, 4.856170199290518 52.46798180180205, 4.856170199290518 52.46618000000024))"
"POLYGON ((4.8591214697030605 52.46618000000024, 4.862072740115603 52.46618000000024, 4.862072740115603 52.46798180180205, 4.8591214697030605 52.46798180180205, 4.8591214697030605 52.46618000000024))"
"POLYGON ((4.862072740115603 52.46618000000024, 4.8650240105281455 52.46618000000024, 4.8650240105281455 52.46798180180205, 4.862072740115603 52.46798180180205, 4.862072740115603 52.46618000000024))"
"POLYGON ((4.8650240105281455 52.46618000000024, 4.867975280940688 52.46618000000024, 4.867975280940688 52.46798180180205, 4.8650240105281455 52.46798180180205, 4.8650240105281455 52.46618000000024))"
"POLYGON ((4.867975280940688 52.46618000000024, 4.8709265513532305 52.46618000000024, 4.8709265513532305 52.46798180180205, 4.867975280940688 52.46798180180205, 4.867975280940688 52.46618000000024))"
"POLYGON ((4.8709265513532305 52.46618000000024, 4.873877821765773 52.46618000000024, 4.873877821765773 52.46798180180205, 4.8709265513532305 52.46798180180205, 4.8709265513532305 52.46618000000024))"
"POLYGON ((4.873877821765773 52.46618000000024, 4.8768290921783155 52.46618000000024, 4.8768290921783155 52.46798180180205, 4.873877821765773 52.46798180180205, 4.873877821765773 52.46618000000024))"
"POLYGON ((4.8768290921783155 52.46618000000024, 4.879780362590858 52.46618000000024, 4.879780362590858 52.46798180180205, 4.8768290921783155 52.46798180180205, 4.8768290921783155 52.46618000000024))"
"POLYGON ((4.879780362590858 52.46618000000024, 4.8827316330034005 52.46618000000024, 4.8827316330034005 52.46798180180205, 4.879780362590858 52.46798180180205, 4.879780362590858 52.46618000000024))"
"POLYGON ((4.8827316330034005 52.46618000000024, 4.885682903415943 52.46618000000024, 4.885682903415943 52.46798180180205, 4.8827316330034005 52.46798180180205, 4.8827316330034005 52.46618000000024))"
"POLYGON ((4.885682903415943 52.46618000000024, 4.8886341738284855 52.46618000000024, 4.8886341738284855 52.46798180180205, 4.885682903415943 52.46798180180205, 4.885682903415943 52.46618000000024))"
"POLYGON ((4.8886341738284855 52.46618000000024, 4.891585444241028 52.46618000000024, 4.891585444241028 52.46798180180205, 4.8886341738284855 52.46798180180205, 4.8886341738284855 52.46618000000024))"
"POLYGON ((4.891585444241028 52.46618000000024, 4.8945367146535705 52.46618000000024, 4.8945367146535705 52.46798180180205, 4.891585444241028 52.46798180180205, 4.891585444241028 52.46618000000024))"
"POLYGON ((4.8945367146535705 52.46618000000024, 4.897487985066113 52.46618000000024, 4.897487985066113 52.46798180180205, 4.8945367146535705 52.46798180180205, 4.8945367146535705 52.46618000000024))"
"POLYGON ((4.897487985066113 52.46618000000024, 4.9004392554786556 52.46618000000024, 4.9004392554786556 52.46798180180205, 4.897487985066113 52.46798180180205, 4.897487985066113 52.46618000000024))"
"POLYGON ((4.9004392554786556 52.46618000000024, 4.903390525891198 52.46618000000024, 4.903390525891198 52.46798180180205, 4.9004392554786556 52.46798180180205, 4.9004392554786556 52.46618000000024))"
"POLYGON ((4.903390525891198 52.46618000000024, 4.906341796303741 52.46618000000024, 4.906341796303741 52.46798180180205, 4.903390525891198 52.46798180180205, 4.903390525891198 52.46618000000024))"
"POLYGON ((4.906341796303741 52.46618000000024, 4.909293066716283 52.46618000000024, 4.909293066716283 52.46798180180205, 4.906341796303741 52.46798180180205, 4.906341796303741 52.46618000000024))"
"POLYGON ((4.909293066716283 52.46618000000024, 4.912244337128826 52.46618000000024, 4.912244337128826 52.46798180180205, 4.909293066716283 52.46798180180205, 4.909293066716283 52.46618000000024))"
"POLYGON ((4.912244337128826 52.46618000000024, 4.915195607541368 52.46618000000024, 4.915195607541368 52.46798180180205, 4.912244337128826 52.46798180180205, 4.912244337128826 52.46618000000024))"
"POLYGON ((4.915195607541368 52.46618000000024, 4.918146877953911 52.46618000000024, 4.918146877953911 52.46798180180205, 4.915195607541368 52.46798180180205, 4.915195607541368 52.46618000000024))"
"POLYGON ((4.918146877953911 52.46618000000024, 4.921098148366453 52.46618000000024, 4.921098148366453 52.46798180180205, 4.918146877953911 52.46798180180205, 4.918146877953911 52.46618000000024))"
"POLYGON ((4.921098148366453 52.46618000000024, 4.924049418778996 52.46618000000024, 4.924049418778996 52.46798180180205, 4.921098148366453 52.46798180180205, 4.921098148366453 52.46618000000024))"
"POLYGON ((4.924049418778996 52.46618000000024, 4.927000689191538 52.46618000000024, 4.927000689191538 52.46798180180205, 4.924049418778996 52.46798180180205, 4.924049418778996 52.46618000000024))"
"POLYGON ((4.927000689191538 52.46618000000024, 4.929951959604081 52.46618000000024, 4.929951959604081 52.46798180180205, 4.927000689191538 52.46798180180205, 4.927000689191538 52.46618000000024))"
"POLYGON ((4.929951959604081 52.46618000000024, 4.932903230016623 52.46618000000024, 4.932903230016623 52.46798180180205, 4.929951959604081 52.46798180180205, 4.929951959604081 52.46618000000024))"
"POLYGON ((4.932903230016623 52.46618000000024, 4.935854500429166 52.46618000000024, 4.935854500429166 52.46798180180205, 4.932903230016623 52.46798180180205, 4.932903230016623 52.46618000000024))"
"POLYGON ((4.935854500429166 52.46618000000024, 4.938805770841708 52.46618000000024, 4.938805770841708 52.46798180180205, 4.935854500429166 52.46798180180205, 4.935854500429166 52.46618000000024))"
"POLYGON ((4.938805770841708 52.46618000000024, 4.941757041254251 52.46618000000024, 4.941757041254251 52.46798180180205, 4.938805770841708 52.46798180180205, 4.938805770841708 52.46618000000024))"
"POLYGON ((4.941757041254251 52.46618000000024, 4.944708311666793 52.46618000000024, 4.944708311666793 52.46798180180205, 4.941757041254251 52.46798180180205, 4.941757041254251 52.46618000000024))"
"POLYGON ((4.944708311666793 52.46618000000024, 4.947659582079336 52.46618000000024, 4.947659582079336 52.46798180180205, 4.944708311666793 52.46798180180205, 4.944708311666793 52.46618000000024))"
"POLYGON ((4.947659582079336 52.46618000000024, 4.950610852491878 52.46618000000024, 4.950610852491878 52.46798180180205, 4.947659582079336 52.46798180180205, 4.947659582079336 52.46618000000024))"
"POLYGON ((4.950610852491878 52.46618000000024, 4.953562122904421 52.46618000000024, 4.953562122904421 52.46798180180205, 4.950610852491878 52.46798180180205, 4.950610852491878 52.46618000000024))"
"POLYGON ((4.953562122904421 52.46618000000024, 4.956513393316963 52.46618000000024, 4.956513393316963 52.46798180180205, 4.953562122904421 52.46798180180205, 4.953562122904421 52.46618000000024))"
"POLYGON ((4.956513393316963 52.46618000000024, 4.959464663729506 52.46618000000024, 4.959464663729506 52.46798180180205, 4.956513393316963 52.46798180180205, 4.956513393316963 52.46618000000024))"
"POLYGON ((4.959464663729506 52.46618000000024, 4.962415934142048 52.46618000000024, 4.962415934142048 52.46798180180205, 4.959464663729506 52.46798180180205, 4.959464663729506 52.46618000000024))"
"POLYGON ((4.962415934142048 52.46618000000024, 4.965367204554591 52.46618000000024, 4.965367204554591 52.46798180180205, 4.962415934142048 52.46798180180205, 4.962415934142048 52.46618000000024))"
"POLYGON ((4.965367204554591 52.46618000000024, 4.968318474967133 52.46618000000024, 4.968318474967133 52.46798180180205, 4.965367204554591 52.46798180180205, 4.965367204554591 52.46618000000024))"
"POLYGON ((4.968318474967133 52.46618000000024, 4.971269745379676 52.46618000000024, 4.971269745379676 52.46798180180205, 4.968318474967133 52.46798180180205, 4.968318474967133 52.46618000000024))"
"POLYGON ((4.971269745379676 52.46618000000024, 4.974221015792218 52.46618000000024, 4.974221015792218 52.46798180180205, 4.971269745379676 52.46798180180205, 4.971269745379676 52.46618000000024))"
"POLYGON ((4.974221015792218 52.46618000000024, 4.977172286204761 52.46618000000024, 4.977172286204761 52.46798180180205, 4.974221015792218 52.46798180180205, 4.974221015792218 52.46618000000024))"
"POLYGON ((4.977172286204761 52.46618000000024, 4.980123556617303 52.46618000000024, 4.980123556617303 52.46798180180205, 4.977172286204761 52.46798180180205, 4.977172286204761 52.46618000000024))"
"POLYGON ((4.980123556617303 52.46618000000024, 4.983074827029846 52.46618000000024, 4.983074827029846 52.46798180180205, 4.980123556617303 52.46798180180205, 4.980123556617303 52.46618000000024))"
"POLYGON ((4.983074827029846 52.46618000000024, 4.986026097442388 52.46618000000024, 4.986026097442388 52.46798180180205, 4.983074827029846 52.46798180180205, 4.983074827029846 52.46618000000024))"
"POLYGON ((4.986026097442388 52.46618000000024, 4.988977367854931 52.46618000000024, 4.988977367854931 52.46798180180205, 4.986026097442388 52.46798180180205, 4.986026097442388 52.46618000000024))"
"POLYGON ((4.988977367854931 52.46618000000024, 4.991928638267473 52.46618000000024, 4.991928638267473 52.46798180180205, 4.988977367854931 52.46798180180205, 4.988977367854931 52.46618000000024))"
"POLYGON ((4.991928638267473 52.46618000000024, 4.994879908680016 52.46618000000024, 4.994879908680016 52.46798180180205, 4.991928638267473 52.46798180180205, 4.991928638267473 52.46618000000024))"
"POLYGON ((4.994879908680016 52.46618000000024, 4.997831179092558 52.46618000000024, 4.997831179092558 52.46798180180205, 4.994879908680016 52.46798180180205, 4.994879908680016 52.46618000000024))"
"POLYGON ((4.997831179092558 52.46618000000024, 5.000782449505101 52.46618000000024, 5.000782449505101 52.46798180180205, 4.997831179092558 52.46798180180205, 4.997831179092558 52.46618000000024))"
"POLYGON ((5.000782449505101 52.46618000000024, 5.003733719917643 52.46618000000024, 5.003733719917643 52.46798180180205, 5.000782449505101 52.46798180180205, 5.000782449505101 52.46618000000024))"
"POLYGON ((5.003733719917643 52.46618000000024, 5.006684990330186 52.46618000000024, 5.006684990330186 52.46798180180205, 5.003733719917643 52.46798180180205, 5.003733719917643 52.46618000000024))"
"POLYGON ((5.006684990330186 52.46618000000024, 5.009636260742728 52.46618000000024, 5.009636260742728 52.46798180180205, 5.006684990330186 52.46798180180205, 5.006684990330186 52.46618000000024))"
"POLYGON ((5.009636260742728 52.46618000000024, 5.012587531155271 52.46618000000024, 5.012587531155271 52.46798180180205, 5.009636260742728 52.46798180180205, 5.009636260742728 52.46618000000024))"
"POLYGON ((5.012587531155271 52.46618000000024, 5.015538801567813 52.46618000000024, 5.015538801567813 52.46798180180205, 5.012587531155271 52.46798180180205, 5.012587531155271 52.46618000000024))"
